x: 60
y: 25
anthills:
- 
x: 50
y: 22
- 
x: 10
y: 3
- 
x: 50
y: 20
- 
x: 20
y: 8
- 
x: 30
y: 15
- 
x: 52
y: 20

obstacles:
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,10
19,10
20,10
21,10
22,10
23,9
24,9
25,9
26,9
27,9
28,9
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
48,10
48,11
48,12
48,13
48,14
48,15
48,16
48,17
48,18
48,19
48,20
48,21
48,22
48,23
48,24
